Participant,Quote,Final Code
P1,"I think people usually sacrifice comprehension for convenience. They just want the result and do not want to engage in the process. You know, people are often lazy and don't want to understand the code. They just want to ensure that the code runs correctly. ",Code Execution Preferred for Validation
P1,"The advantage of having a summary for some remote parts of the code is that if I'm not familiar with them, I can use the summary to understand them quickly. Once I understand the code, it may help me figure out how to modify it.",Summaries Help Understand Code
P1,"Reading the summaries can take some time, and it may slow down the modification process because I need to ensure I understand the function correctly.",Reading Summaries Takes Effort
P1,"After I read the summary, I might think, ‘Okay, this function is not the correct one that I should modify. I need to switch to another function and check. Maybe I should notify that.’",Summaries Help Determine If Intended Location
P1,"The advantage of direct prompt is that I can directly write my command in that format, and I will be more confident that the modifications will align with my intentions, as all the contents in direct prompting are what I wrote before.",Direct Prompting Enables Confident Specification
P1,"Direct prompting is more intuitive and quicker, but it's prone to error.","Direct Prompting Is Flexible, Urgency Favors Direct Prompting, Direct Prompting Prone to Errors"
P1,"I find that with summary mode, it's sometimes challenging to determine where to insert or modify my changes in the summary. This difficulty arises when I need to find specific parts that need modification in long summaries.",Appropriate Granularity Is Important for Editing
P1,"For a very complex task, I would prefer using the summary mode first because the task is too complex, and I want to understand the function of the piece of code. ",Complex Tasks Trigger Summary-Mediated Prompting
P1,"After that, I may either choose to use the summary mode to modify it or use the direct prompting mode, depending on other factors.",Prompting Strategy Switching Based on Context
P1,"I first need to go through the entire summary. Since the summary contains several sentences, it would be helpful if I could identify any links between each sentence or sub-sentence in the summary and the code in the original file. For example, if I hover over a sentence in the summary, it could show me which part of the code it corresponds to. The correlation is important.",Summary-Code Mapping Improves Traceability
P2,Sometimes I let the large language models modify a code snippet that I am not quite familiar with.,Unfamiliar Code Encourages LLM Editing
P2,"ChatGPT has often modified my correctly implemented code to make it incorrect. Sometimes it deletes my comments to simplify the code, which hurts my code readability.",LLM Modifications May Introduce Unintended Effects
P2,"One way is to use large language models to explain the code to me, and then I'll judge for myself if the generated code or the improved version is reasonable.",Summaries Support Semantic Validation
P2,Another approach is to simply run the code and see if the final result is good or if the modified code is executable.,Code Execution Preferred for Validation
P2,"If the code modification instruction is partially covered by the code summarization, I can modify some parameters in the code summary to actually modify the code instead of writing the entire prompt. This can save a lot of time.",Editing Summaries Reduces Typing Effort
P2,"With summary-mediated prompting, I first need to read through all the code explanations. As a non-native English speaker, it also took me some time to read the English summarization response.",Reading Summaries Takes Effort
P2,"For summary-mediated prompting, I feel a much better sense of control because I need to fully comprehend or read the code summary to modify the code.",Summaries Force Comprehension Before Modification
P2,"With direct instruction prompting, I sometimes just ask the large language model to modify the code and then inspect the output without caring if I understand the original code or not.",Trust In LLMs Favors Direct Prompting
P2,"If it is a very simple task, I will simply use direct instruction prompting because I trust that the large language model can actually solve it.","Simple Tasks Favor Direct Prompting, Trust In LLMs Favors Direct Prompting"
P2,"If the task is more comprehensive, I will first use summary-mediated prompting to help me understand the code.",Complex Tasks Trigger Summary-Mediated Prompting
