participant_id,task_index,commit_declarative,commit_procedural,diff_summaries,retrieve_summary,avg_prompt_length,avg_levenshtein_distance,avg_length_selected_code
1,1,6,1,0,1,94.83333333333333,134.0,188.375
1,2,4,3,0,4,31.75,75.66666666666667,2640.5454545454545
1,3,3,3,0,4,69.0,80.33333333333333,606.6
2,1,4,4,0,3,231.5,59.5,168.63636363636363
2,2,3,3,0,5,99.0,136.33333333333334,1180.7272727272727
2,3,2,4,0,8,155.5,114.25,567.2857142857143
3,1,0,4,0,5,,174.5,274.77777777777777
3,2,0,6,0,4,,82.83333333333333,1306.6
3,3,0,5,0,7,,102.6,677.75
4,1,7,4,0,9,97.85714285714286,74.75,237.05
4,2,9,6,0,13,76.77777777777777,23.5,863.3214285714286
4,3,3,5,0,11,86.0,51.4,403.7894736842105
5,1,15,0,0,1,42.86666666666667,,156.6
5,2,3,3,0,6,25.666666666666668,34.666666666666664,857.0833333333334
5,3,7,4,0,5,42.0,34.25,540.125
6,1,4,1,0,1,1235.25,156.0,341.1666666666667
6,2,6,1,0,2,106.83333333333333,164.0,1190.4444444444443
6,3,3,7,0,9,71.66666666666667,42.857142857142854,353.7894736842105
7,1,9,2,0,3,57.888888888888886,40.5,171.21428571428572
7,2,11,0,0,1,80.9090909090909,,977.1818181818181
7,3,7,0,0,1,112.42857142857143,,1072.25
8,1,7,9,0,7,78.57142857142857,93.55555555555556,134.72727272727272
8,2,1,8,0,10,32.0,124.625,1082.0
8,3,1,5,0,5,40.0,93.8,292.54545454545456
9,1,5,3,0,6,110.0,142.0,124.78571428571429
9,2,9,0,0,2,98.33333333333333,,2014.909090909091
9,3,7,2,1,6,180.71428571428572,37.666666666666664,346.8666666666667
10,1,7,0,0,1,117.71428571428571,,291.625
10,2,7,2,0,3,105.28571428571429,114.0,1408.6666666666667
10,3,2,5,3,6,38.5,51.75,482.5625
11,1,6,1,1,2,95.83333333333333,257.0,161.4
11,2,8,1,0,3,79.0,82.0,1085.6666666666667
11,3,0,6,0,9,,80.16666666666667,487.2
12,1,3,6,0,3,49.666666666666664,163.75,162.5
12,2,3,1,0,2,75.33333333333333,196.0,1041.5
12,3,4,2,1,3,101.0,107.0,401.6
13,1,4,0,0,0,89.5,,291.5
13,2,5,1,0,1,107.6,51.0,4487.857142857143
13,3,7,1,1,1,142.0,104.0,388.1
14,1,9,0,0,0,69.88888888888889,,532.6666666666666
14,2,6,1,0,1,70.66666666666667,116.0,1144.375
14,3,5,3,0,2,83.0,88.66666666666667,325.5
15,1,6,4,4,4,107.33333333333333,51.0,194.2941176470588
15,2,6,2,2,3,94.5,92.5,1284.3333333333333
15,3,3,3,2,3,108.0,43.6,216.36363636363637
